// Register File in Hex
0000_0000	// R[0]
0000_0001	// R[1]
0000_0002	// R[2]
7777_7777	// R[3]
7F7F_7F7F	// R[4]
F7F7_F7F7	// R[5]
7FFF_FFFF	// R[6]
8000_0000	// R[7]
FFFF_0000	// R[8]
0000_FFFF	// R[9]
0000_0000	// R[10]
0000_0000	// R[11]
0000_0000	// R[12]
0000_0000	// R[13]
0000_0000	// R[14]
0000_0000	// R[15]
0000_0000	// R[16]
0000_0000	// R[17]
0000_0000	// R[18]
0000_0000	// R[19]
0000_0000	// R[20]
0000_0000	// R[21]
0000_0000	// R[22]
0000_0000	// R[23]
0000_0000	// R[24]
0000_0000	// R[25]
0000_0000	// R[26]
0000_0000	// R[27]
0000_0000	// R[28]
0000_0000	// R[29]
FFFF_FF00	// R[30]
FFFF_FFFF	// R[31]
